Team,Elo,Strength Score,Attack Score,Defense Score,Recent Form,Power Rating,Predicted Finish
Mali,1662.7,76.8,49.7,95.3,51.8,70.0,TBD
Crimea,1517.6,69.2,50.3,91.6,75.4,69.9,TBD
South Ossetia,1486.8,67.6,55.2,91.7,71.5,69.9,TBD
Northern Ireland,1593.6,73.2,47.7,92.8,67.5,69.9,TBD
Réunion,1557.5,71.3,53.0,93.0,63.6,69.9,TBD
Indonesia,1475.2,67.0,52.3,93.6,75.4,69.9,TBD
Donetsk Pr,1508.6,68.7,49.8,95.1,71.5,69.7,TBD
Turkmenistan,1394.8,62.7,51.2,93.9,87.2,69.7,TBD
Galicia,1525.2,69.6,52.9,92.5,67.5,69.7,TBD
Zanzibar,1519.1,69.3,46.7,92.0,79.3,69.7,TBD
Uzbekistan,1694.5,78.5,52.7,95.2,40.0,69.6,Group Stage
Mapuche,1500.6,68.3,51.1,95.6,69.5,69.6,TBD
Suriname,1549.6,70.9,53.9,94.2,59.7,69.6,TBD
Felvidék,1509.9,68.8,48.6,93.4,75.4,69.6,TBD
Philippines,1350.6,60.4,48.9,91.3,99.0,69.5,TBD
Provence,1441.1,65.2,63.4,90.4,63.6,69.5,TBD
East Turkestan,1476.6,67.0,62.1,88.2,63.6,69.5,TBD
Finland,1570.2,71.9,48.7,92.1,67.5,69.5,TBD
Iraq,1665.8,77.0,51.3,95.8,43.9,69.4,Group Stage
Shetland,1486.6,67.6,52.8,92.4,71.5,69.4,TBD
Syria,1571.0,72.0,50.5,94.6,59.7,69.3,TBD
Haiti,1612.6,74.2,52.1,94.4,51.8,69.3,Group Stage
Libya,1520.6,69.3,49.6,94.9,67.5,69.2,TBD
Benin,1548.4,70.8,48.0,93.2,67.5,69.1,TBD
Lebanon,1450.2,65.6,48.5,94.3,79.3,69.1,TBD
Oman,1571.8,72.0,49.5,94.8,59.7,69.1,TBD
Republic Of St. Pauli,1465.0,66.4,58.4,94.8,59.7,69.1,TBD
Togo,1473.8,66.9,48.1,94.3,75.4,69.0,TBD
Angola,1547.3,70.7,48.4,95.5,63.6,69.0,TBD
North Vietnam,1474.8,66.9,55.1,91.7,67.5,69.0,TBD
Székely Land,1463.2,66.3,55.3,92.0,67.5,68.9,TBD
Western Armenia,1488.5,67.7,55.7,94.8,59.7,68.9,TBD
United Koreans In Japan,1492.0,67.8,52.3,95.9,63.6,68.9,TBD
Menorca,1530.3,69.8,56.5,94.7,51.8,68.8,TBD
Guatemala,1608.5,74.0,50.3,94.4,51.8,68.8,TBD
New Zealand,1635.9,75.4,52.9,93.9,43.9,68.7,Group Stage
Guinea,1545.2,70.6,50.0,94.9,59.7,68.7,TBD
Saint Barthélemy,1445.6,65.4,58.4,88.9,67.5,68.7,TBD
Montenegro,1511.4,68.9,48.7,94.4,67.5,68.7,TBD
Gotland,1423.4,64.2,59.9,92.6,63.6,68.7,TBD
Luhansk Pr,1495.6,68.0,51.1,92.3,67.5,68.6,TBD
Bahrain,1524.6,69.5,49.2,94.6,63.6,68.6,TBD
Curaçao,1557.3,71.3,52.1,93.6,55.7,68.6,TBD
Somaliland,1490.5,67.8,57.2,87.8,63.6,68.5,TBD
Madagascar,1491.2,67.8,50.0,93.9,67.5,68.5,TBD
Guadeloupe,1485.4,67.5,52.6,94.1,63.6,68.5,TBD
Sápmi,1458.5,66.1,62.9,92.7,51.8,68.5,TBD
Palestine,1564.1,71.6,49.8,94.3,55.7,68.3,TBD
Matabeleland,1499.8,68.2,46.5,93.1,71.5,68.3,TBD
Rwanda,1437.4,65.0,47.6,95.0,75.4,68.2,TBD
Tunisia,1650.8,76.2,50.6,95.5,40.0,68.2,Group Stage
Zimbabwe,1462.1,66.3,49.8,95.0,67.5,68.1,TBD
Jordan,1661.8,76.7,49.4,95.2,40.0,68.1,Group Stage
Mayotte,1444.2,65.3,49.9,94.0,71.5,68.1,TBD
Gozo,1466.6,66.5,56.3,92.3,59.7,68.1,TBD
Estonia,1422.3,64.2,47.3,93.0,79.3,68.0,TBD
Central Spain,1500.4,68.3,47.4,92.3,69.5,68.0,TBD
Kazakhstan,1482.9,67.4,48.5,93.4,67.5,67.9,TBD
Sint Maarten,1374.8,61.7,50.8,90.4,83.3,67.9,TBD
North Macedonia,1611.4,74.1,48.8,94.5,47.9,67.9,TBD
Uganda,1523.2,69.5,51.1,95.0,55.7,67.9,TBD
Monaco,1501.0,68.3,52.6,86.6,67.5,67.9,TBD
Cuba,1428.4,64.5,49.9,93.9,71.5,67.8,TBD
Western Isles,1464.7,66.4,51.1,91.4,67.5,67.7,TBD
Sierra Leone,1479.0,67.2,47.1,94.4,67.5,67.6,TBD
Kuwait,1466.4,66.5,51.5,95.2,59.7,67.5,TBD
Dominican Republic,1443.1,65.3,52.3,93.6,63.6,67.5,TBD
Saint Vincent And The Grenadines,1374.5,61.7,51.6,92.7,75.4,67.4,TBD
Iceland,1589.0,72.9,48.9,93.3,47.9,67.3,TBD
Orkney,1424.0,64.3,50.0,88.9,75.4,67.3,TBD
Kenya,1476.3,67.0,50.2,94.4,59.7,67.2,TBD
Hmong,1480.3,67.2,54.8,87.8,59.7,67.1,TBD
Saugeais,1496.2,68.1,47.4,95.6,59.7,67.1,TBD
Qatar,1549.6,70.9,50.4,94.9,47.9,67.1,Group Stage
El Salvador,1485.6,67.5,49.2,93.9,59.7,67.0,TBD
Zambia,1528.6,69.8,51.5,95.4,47.9,67.0,TBD
Ethiopia,1414.8,63.8,49.9,94.1,67.5,66.9,TBD
Greenland,1470.4,66.7,53.9,92.0,55.7,66.9,TBD
Åland Islands,1484.5,67.4,51.1,93.3,55.7,66.8,TBD
Gambia,1513.2,68.9,47.7,94.3,55.7,66.7,TBD
Puerto Rico,1382.3,62.1,49.3,91.1,75.4,66.7,TBD
Faroe Islands,1417.6,63.9,46.2,91.4,75.4,66.7,TBD
Raetia,1427.5,64.5,52.2,85.6,71.5,66.7,TBD
Comoros,1473.3,66.9,46.5,93.6,63.6,66.6,TBD
Yemen,1338.8,59.8,47.2,91.7,83.3,66.5,TBD
North Korea,1497.2,68.1,51.9,95.2,47.9,66.4,TBD
Trinidad And Tobago,1523.1,69.5,52.4,94.5,43.9,66.4,TBD
Western Australia,1413.6,63.7,54.5,91.1,59.7,66.3,TBD
Kabylia,1472.6,66.8,49.8,90.6,59.7,66.2,TBD
Saint Martin,1343.3,60.0,51.0,90.7,75.4,66.2,TBD
Western Sahara,1455.3,65.9,53.1,84.8,63.6,66.1,TBD
Albania,1605.8,73.8,47.0,94.0,40.0,66.1,TBD
Martinique,1471.4,66.8,53.1,94.6,47.9,66.1,TBD
Singapore,1322.4,58.9,49.9,92.9,75.4,65.9,TBD
Gabon,1534.7,70.1,48.7,95.0,43.9,65.8,TBD
Mozambique,1494.2,68.0,47.6,94.6,51.8,65.8,TBD
Malawi,1421.2,64.1,48.6,94.6,59.7,65.7,TBD
Sudan,1484.8,67.5,48.0,94.4,51.8,65.6,TBD
Saint Kitts And Nevis,1321.5,58.9,52.6,93.5,67.5,65.5,TBD
Saare County,1366.5,61.3,48.6,90.4,71.5,65.5,TBD
Fiji,1461.8,66.3,56.7,93.5,40.0,65.4,TBD
Nicaragua,1478.9,67.1,47.8,90.9,55.7,65.3,TBD
Romani People,1476.4,67.0,53.7,86.5,51.8,65.3,TBD
Azerbaijan,1394.2,62.7,45.7,93.3,67.5,65.3,TBD
Equatorial Guinea,1457.2,66.0,46.4,94.1,55.7,65.2,TBD
Niger,1480.2,67.2,47.3,93.5,51.8,65.2,TBD
Tanzania,1407.3,63.4,48.1,94.0,59.7,65.1,TBD
Cyprus,1383.2,62.1,46.5,91.7,67.5,64.9,TBD
Aruba,1265.2,55.9,49.7,91.1,79.3,64.9,TBD
Lesotho,1426.1,64.4,45.7,93.7,59.7,64.9,TBD
Hitra,1399.9,63.0,51.9,85.5,63.6,64.8,TBD
Bermuda,1377.4,61.8,52.2,93.1,55.7,64.8,TBD
Mauritania,1452.6,65.8,45.3,93.6,55.7,64.7,TBD
Kyrgyzstan,1441.8,65.2,48.5,93.3,51.8,64.6,TBD
Liberia,1425.5,64.3,46.6,94.0,55.7,64.6,TBD
Yoruba Nation,1484.4,67.4,43.7,95.6,49.8,64.5,TBD
Seborga,1486.6,67.6,54.8,88.9,40.0,64.5,TBD
French Guiana,1427.2,64.4,51.0,93.2,47.9,64.4,TBD
Hong Kong,1325.9,59.1,50.7,93.5,59.7,64.0,TBD
West Papua,1487.3,67.6,51.1,83.8,49.8,64.0,TBD
Solomon Islands,1412.4,63.7,55.9,92.4,40.0,63.9,TBD
Guinea-Bissau,1383.4,62.1,47.3,94.0,55.7,63.9,TBD
Central African Republic,1393.7,62.7,47.8,92.6,55.7,63.9,TBD
Botswana,1413.2,63.7,46.0,94.7,51.8,63.7,TBD
Belize,1315.8,58.6,48.1,92.5,63.6,63.5,TBD
Namibia,1448.5,65.6,47.2,94.2,43.9,63.5,TBD
Yemen Dpr,1407.9,63.4,47.4,89.7,55.7,63.5,TBD
Armenia,1434.0,64.8,47.4,92.8,47.9,63.5,TBD
Madrid,1488.7,67.7,47.4,92.3,40.0,63.4,TBD
Vietnam Republic,1389.4,62.5,53.8,93.6,40.0,63.1,TBD
Malta,1347.4,60.3,44.8,91.4,63.6,63.1,TBD
Samoa,1315.6,58.6,50.3,87.2,63.6,63.0,TBD
Luxembourg,1432.4,64.7,44.7,90.3,51.8,62.9,TBD
Saarland,1455.1,65.9,48.2,89.3,43.9,62.9,TBD
Grenada,1321.4,58.9,52.0,92.7,51.8,62.9,TBD
Vatican City,1445.6,65.4,45.5,90.2,47.9,62.8,TBD
Barawa,1405.6,63.3,49.8,86.1,51.8,62.8,TBD
Two Sicilies,1450.0,65.6,43.7,88.9,51.8,62.7,TBD
Lithuania,1327.1,59.2,47.3,92.9,55.7,62.4,TBD
Găgăuzia,1459.0,66.1,44.9,88.9,46.6,62.4,TBD
Pakistan,1171.6,51.0,46.9,91.2,79.3,62.3,TBD
Burundi,1403.0,63.2,48.0,94.4,40.0,62.2,TBD
Congo,1355.9,60.7,49.5,94.0,43.9,62.1,TBD
Aymara,1470.7,66.7,43.7,92.3,40.0,62.1,TBD
Saint Lucia,1305.6,58.1,50.5,92.6,51.8,62.1,TBD
Bangladesh,1194.7,52.2,46.7,92.9,71.5,61.9,TBD
Latvia,1334.3,59.6,48.7,93.4,47.9,61.9,TBD
Afghanistan,1265.2,55.9,47.1,92.3,59.7,61.6,TBD
Cilento,1492.9,67.9,40.0,92.3,40.0,61.6,TBD
Chagos Islands,1426.6,64.4,52.9,83.0,40.0,61.6,TBD
Marshall Islands,1446.7,65.5,47.4,87.2,40.0,61.5,TBD
South Yemen,1475.8,67.0,42.5,90.0,40.0,61.4,TBD
Tuvalu,1322.1,58.9,48.5,81.0,63.6,61.4,TBD
British Virgin Islands,1149.7,49.9,46.8,89.1,79.3,61.4,TBD
Eswatini,1342.9,60.0,46.2,93.4,47.9,61.4,TBD
Myanmar,1208.6,53.0,51.8,93.4,55.7,61.2,TBD
Montserrat,1315.7,58.6,48.0,89.0,51.8,61.0,TBD
Moldova,1329.7,59.3,46.0,93.1,47.9,61.0,TBD
Frøya,1296.4,57.6,52.0,85.7,51.8,60.9,TBD
Bonaire,1253.3,55.3,50.6,90.6,51.8,60.7,TBD
Wallis Islands And Futuna,1361.8,61.0,47.1,83.7,51.8,60.7,TBD
Ambazonia,1433.3,64.8,43.7,89.4,40.0,60.7,TBD
Cayman Islands,1171.1,51.0,47.3,90.8,67.5,60.5,TBD
India,1276.6,56.5,50.1,93.6,43.9,60.4,TBD
Mauritius,1248.9,55.1,49.3,93.6,47.9,60.3,TBD
South Sudan,1307.4,58.2,44.7,92.9,47.9,60.2,TBD
Barbados,1217.6,53.4,49.6,93.1,51.8,60.2,TBD
Gibraltar,1176.4,51.3,48.2,90.6,63.6,60.2,TBD
Turks And Caicos Islands,1187.5,51.9,47.4,86.9,67.5,60.1,TBD
Ticino,1468.3,66.6,47.4,77.1,40.0,59.9,TBD
Tonga,1194.7,52.2,48.8,86.5,63.6,59.9,TBD
Cambodia,1131.6,48.9,48.2,90.3,67.5,59.8,TBD
Micronesia,1427.1,64.4,48.4,70.6,51.8,59.8,TBD
Antigua And Barbuda,1213.4,53.2,49.8,92.8,47.9,59.5,TBD
Chad,1283.3,56.9,46.3,93.2,43.9,59.5,TBD
Dominica,1242.2,54.7,48.6,92.2,43.9,59.1,TBD
São Tomé And Príncipe,1243.2,54.8,45.5,90.4,51.8,59.1,TBD
Palau,1470.4,66.7,54.8,63.6,40.0,59.1,TBD
Chechnya,1483.4,67.4,47.4,66.4,46.6,59.1,TBD
Northern Mariana Islands,1169.7,50.9,46.6,84.5,67.5,59.1,TBD
Saint Helena,1405.5,63.3,45.5,81.7,40.0,59.0,TBD
Tibet,1338.3,59.8,50.5,79.6,43.9,59.0,TBD
Falkland Islands,1307.1,58.1,46.9,86.6,43.9,58.9,TBD
Manchukuo,1464.8,66.4,40.0,81.0,40.0,58.8,TBD
United States Virgin Islands,1118.8,48.3,45.1,86.2,67.5,58.0,TBD
Eritrea,1253.8,55.3,45.0,93.3,40.0,58.0,TBD
Cook Islands,1261.0,55.7,46.0,82.2,51.8,58.0,TBD
Nepal,1187.3,51.9,46.3,91.4,47.9,57.8,TBD
Andorra,1166.3,50.8,42.4,91.0,55.7,57.5,TBD
Somalia,1149.1,49.8,43.7,90.0,55.7,57.2,TBD
Sri Lanka,1092.9,46.9,47.0,91.3,55.7,57.1,TBD
Ryūkyū,1489.7,67.7,40.0,68.7,40.0,56.8,TBD
Mongolia,1100.4,47.3,48.4,88.7,51.8,56.5,TBD
Taiwan,1143.0,49.5,49.6,90.6,40.0,56.3,TBD
Anguilla,1066.4,45.5,44.2,86.1,63.6,56.0,TBD
Maldives,1101.9,47.4,48.8,91.4,40.0,55.4,TBD
Alderney,1148.5,49.8,44.0,83.5,51.8,55.4,TBD
Laos,1049.4,44.6,47.5,88.4,51.8,55.2,TBD
Guam,1094.1,47.0,48.4,82.5,51.8,55.1,TBD
Bahamas,1124.8,48.6,48.3,88.3,40.0,55.1,TBD
Liechtenstein,1073.6,45.9,43.0,89.5,51.8,54.8,TBD
Djibouti,1143.9,49.6,44.9,86.8,40.0,54.4,TBD
Seychelles,1089.2,46.7,45.7,91.4,40.0,54.4,TBD
Brunei,1030.5,43.6,45.8,88.0,51.8,54.3,TBD
Timor-Leste,1022.8,43.2,46.1,87.9,51.8,54.2,TBD
Saint Pierre And Miquelon,1401.0,63.1,42.1,61.4,40.0,54.0,TBD
Kiribati,1374.0,61.6,44.7,60.4,40.0,53.9,TBD
American Samoa,1143.5,49.6,44.4,77.1,40.0,52.4,TBD
Darfur,1407.7,63.4,41.1,51.3,40.0,51.9,TBD
Macau,994.7,41.7,45.7,88.6,40.0,51.8,TBD
Niue,1477.2,67.1,40.0,43.4,40.0,51.5,TBD
Bhutan,996.4,41.8,44.1,86.7,40.0,51.1,TBD
San Marino,961.3,40.0,41.4,85.7,43.9,50.1,TBD
Sark,1441.4,65.2,40.0,40.0,40.0,50.1,TBD
